CL,Tau_in,Rise Time,Fall Time,t_HL,t_LH
4.000000e-15,2.100000e-10,1.785000e-10,1.705000e-10,1.340000e-10,1.140000e-10
4.000000e-15,2.200000e-10,1.825000e-10,1.745000e-10,1.360000e-10,1.160000e-10
4.000000e-15,2.300000e-10,1.865000e-10,1.780000e-10,1.375000e-10,1.180000e-10
4.000000e-15,2.400000e-10,1.905000e-10,1.820000e-10,1.395000e-10,1.205000e-10
4.000000e-15,2.500000e-10,1.945000e-10,1.860000e-10,1.410000e-10,1.225000e-10
4.000000e-15,2.600000e-10,1.985000e-10,1.895000e-10,1.430000e-10,1.240000e-10
4.000000e-15,2.700000e-10,2.025000e-10,1.935000e-10,1.445000e-10,1.260000e-10
4.000000e-15,2.800000e-10,2.065000e-10,1.970000e-10,1.465000e-10,1.280000e-10
4.000000e-15,2.900000e-10,2.100000e-10,2.010000e-10,1.480000e-10,1.295000e-10
4.000000e-15,3.000000e-10,2.145000e-10,2.050000e-10,1.495000e-10,1.320000e-10
4.000000e-15,3.100000e-10,2.185000e-10,2.085000e-10,1.510000e-10,1.335000e-10
4.000000e-15,3.200000e-10,2.225000e-10,2.125000e-10,1.530000e-10,1.355000e-10
4.000000e-15,3.300000e-10,2.260000e-10,2.160000e-10,1.540000e-10,1.370000e-10
4.000000e-15,3.400000e-10,2.300000e-10,2.195000e-10,1.555000e-10,1.390000e-10
4.000000e-15,3.500000e-10,2.340000e-10,2.235000e-10,1.570000e-10,1.405000e-10
4.000000e-15,3.600000e-10,2.380000e-10,2.275000e-10,1.585000e-10,1.420000e-10
4.000000e-15,3.700000e-10,2.420000e-10,2.315000e-10,1.595000e-10,1.435000e-10
4.000000e-15,3.800000e-10,2.455000e-10,2.355000e-10,1.610000e-10,1.455000e-10
4.000000e-15,3.900000e-10,2.495000e-10,2.385000e-10,1.625000e-10,1.470000e-10
4.000000e-15,4.000000e-10,2.535000e-10,2.425000e-10,1.635000e-10,1.485000e-10
4.000000e-15,4.100000e-10,2.575000e-10,2.465000e-10,1.650000e-10,1.500000e-10
4.000000e-15,4.200000e-10,2.610000e-10,2.500000e-10,1.665000e-10,1.515000e-10
4.000000e-15,4.300000e-10,2.650000e-10,2.540000e-10,1.680000e-10,1.530000e-10
4.000000e-15,4.400000e-10,2.690000e-10,2.575000e-10,1.690000e-10,1.545000e-10
4.000000e-15,4.500000e-10,2.725000e-10,2.615000e-10,1.705000e-10,1.560000e-10
4.000000e-15,4.600000e-10,2.765000e-10,2.650000e-10,1.720000e-10,1.575000e-10
4.000000e-15,4.700000e-10,2.800000e-10,2.690000e-10,1.725000e-10,1.590000e-10
4.000000e-15,4.800000e-10,2.840000e-10,2.725000e-10,1.740000e-10,1.605000e-10
4.000000e-15,4.900000e-10,2.880000e-10,2.765000e-10,1.755000e-10,1.620000e-10
5.000000e-15,1.000000e-11,1.070000e-10,1.095000e-10,8.050000e-11,5.500000e-11
5.000000e-15,2.000000e-11,1.110000e-10,1.115000e-10,8.500000e-11,6.100000e-11
5.000000e-15,3.000000e-11,1.155000e-10,1.140000e-10,9.000000e-11,6.650000e-11
5.000000e-15,4.000000e-11,1.200000e-10,1.170000e-10,9.450000e-11,7.150000e-11
5.000000e-15,5.000000e-11,1.250000e-10,1.210000e-10,9.900000e-11,7.600000e-11
